ID,timestamp,event
O20,1715330799.0,tutorial_task
O20,1715330844.0,end_human_decision
O20,1715330850.0,end_human_ai_decision
O20,1715330852.0,feedback
O20,1715330888.0,end_human_decision
O20,1715330906.0,end_human_ai_decision
O20,1715330908.0,feedback
O20,1715330961.0,end_human_decision
O20,1715330975.0,end_human_ai_decision
O20,1715330977.0,feedback
O20,1715331013.0,end_human_decision
O20,1715331017.0,end_human_ai_decision
O20,1715331019.0,feedback
O20,1715331048.0,end_human_decision
O20,1715331051.0,end_human_ai_decision
O20,1715331053.0,feedback
O20,1715331126.0,end_human_decision
O20,1715331132.0,end_human_ai_decision
O20,1715331134.0,feedback
O20,1715331149.0,end_human_decision
O20,1715331152.0,end_human_ai_decision
O20,1715331154.0,feedback
O20,1715331197.0,end_human_decision
O20,1715331200.0,end_human_ai_decision
O20,1715331202.0,feedback
O20,1715331236.0,end_human_decision
O20,1715331245.0,end_human_ai_decision
O20,1715331247.0,feedback
O20,1715331269.0,end_human_decision
O20,1715331279.0,end_human_ai_decision
O20,1715331281.0,feedback
O20,1715331305.0,end_human_decision
O20,1715331311.0,end_human_ai_decision
O20,1715331313.0,feedback
O20,1715331338.0,end_human_decision
O20,1715331342.0,end_human_ai_decision
O20,1715331344.0,feedback
O20,1715331367.0,end_human_decision
O20,1715331371.0,end_human_ai_decision
O20,1715331373.0,feedback
O20,1715331388.0,end_human_decision
O20,1715331393.0,end_human_ai_decision
O20,1715331395.0,feedback
O20,1715331428.0,end_human_decision
O20,1715331433.0,end_human_ai_decision
O20,1715331435.0,feedback
O21,1715332170.0,tutorial_task
O21,1715332188.0,end_human_decision
O21,1715332192.0,end_human_ai_decision
O21,1715332194.0,feedback
O21,1715332211.0,end_human_decision
O21,1715332216.0,end_human_ai_decision
O21,1715332218.0,feedback
O21,1715332244.0,end_human_decision
O21,1715332252.0,end_human_ai_decision
O21,1715332254.0,feedback
O21,1715332276.0,end_human_decision
O21,1715332281.0,end_human_ai_decision
O21,1715332283.0,feedback
O21,1715332300.0,end_human_decision
O21,1715332305.0,end_human_ai_decision
O21,1715332307.0,feedback
O21,1715332329.0,end_human_decision
O21,1715332334.0,end_human_ai_decision
O21,1715332336.0,feedback
O21,1715332357.0,end_human_decision
O21,1715332370.0,end_human_ai_decision
O21,1715332372.0,feedback
O21,1715332397.0,end_human_decision
O21,1715332401.0,end_human_ai_decision
O21,1715332403.0,feedback
O21,1715332432.0,end_human_decision
O21,1715332435.0,end_human_ai_decision
O21,1715332437.0,feedback
O21,1715332461.0,end_human_decision
O21,1715332466.0,end_human_ai_decision
O21,1715332468.0,feedback
O21,1715332498.0,end_human_decision
O21,1715332503.0,end_human_ai_decision
O21,1715332505.0,feedback
O21,1715332532.0,end_human_decision
O21,1715332536.0,end_human_ai_decision
O21,1715332538.0,feedback
O21,1715332561.0,end_human_decision
O21,1715332564.0,end_human_ai_decision
O21,1715332566.0,feedback
O21,1715332589.0,end_human_decision
O21,1715332598.0,end_human_ai_decision
O21,1715332600.0,feedback
O21,1715332619.0,end_human_decision
O21,1715332622.0,end_human_ai_decision
O21,1715332624.0,feedback
O22,1715337876.0,tutorial_task
O22,1715337897.0,end_human_decision
O22,1715337911.0,end_human_ai_decision
O22,1715337913.0,feedback
O22,1715337936.0,end_human_decision
O22,1715337948.0,end_human_ai_decision
O22,1715337950.0,feedback
O22,1715337977.0,end_human_decision
O22,1715337982.0,end_human_ai_decision
O22,1715337984.0,feedback
O22,1715338014.0,end_human_decision
O22,1715338018.0,end_human_ai_decision
O22,1715338020.0,feedback
O22,1715338048.0,end_human_decision
O22,1715338052.0,end_human_ai_decision
O22,1715338054.0,feedback
O22,1715338096.0,end_human_decision
O22,1715338104.0,end_human_ai_decision
O22,1715338106.0,feedback
O22,1715338133.0,end_human_decision
O22,1715338138.0,end_human_ai_decision
O22,1715338140.0,feedback
O22,1715338170.0,end_human_decision
O22,1715338175.0,end_human_ai_decision
O22,1715338177.0,feedback
O22,1715338198.0,end_human_decision
O22,1715338202.0,end_human_ai_decision
O22,1715338204.0,feedback
O22,1715338234.0,end_human_decision
O22,1715338238.0,end_human_ai_decision
O22,1715338240.0,feedback
O22,1715338267.0,end_human_decision
O22,1715338271.0,end_human_ai_decision
O22,1715338273.0,feedback
O22,1715338293.0,end_human_decision
O22,1715338298.0,end_human_ai_decision
O22,1715338300.0,feedback
O22,1715338319.0,end_human_decision
O22,1715338323.0,end_human_ai_decision
O22,1715338325.0,feedback
O22,1715338348.0,end_human_decision
O22,1715338356.0,end_human_ai_decision
O22,1715338358.0,feedback
O22,1715338379.0,end_human_decision
O22,1715338383.0,end_human_ai_decision
O22,1715338385.0,feedback
O23,1715849648.0,tutorial_task
O23,1715849692.0,end_human_decision
O23,1715849696.0,end_human_ai_decision
O23,1715849698.0,feedback
O23,1715849744.0,end_human_decision
O23,1715849751.0,end_human_ai_decision
O23,1715849753.0,feedback
O23,1715849809.0,end_human_decision
O23,1715849817.0,end_human_ai_decision
O23,1715849819.0,feedback
O23,1715849877.0,end_human_decision
O23,1715849885.0,end_human_ai_decision
O23,1715849887.0,feedback
O23,1715849924.0,end_human_decision
O23,1715849928.0,end_human_ai_decision
O23,1715849930.0,feedback
