ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,underreliance
O21,2.0176339149475098,1.102602481842041,5,1,0.2,0.5464829242180567,7,0,1
O21,0.6437617329990163,0.0,17,1,0.058823529411764705,0.0,7,0,1
O21,1.2288453380266826,0.2017405209717927,12,27,2.25,0.16417079898415354,14,0,1
O21,0.4053905540042453,0.3447098391396658,18,7,0.3888888888888889,0.850315419870528,14,0,1
O24,0.8249390125274658,0.0,4,1,0.25,0.0,2,0,1
O24,5.208802580833435,0.0,2,1,0.5,0.0,6,0,1
O24,0.9912896951039633,0.0,3,1,0.3333333333333333,0.0,6,0,1
O24,1.269866704940796,0.0,2,1,0.5,0.0,9,0,1
O24,1.041204531987508,0.0,6,1,0.16666666666666666,0.0,9,0,1
O24,0.9082750976085664,0.0,8,1,0.125,0.0,11,0,1
O24,1.1957132418950398,0.0,6,1,0.16666666666666666,0.0,11,0,1
O25,0.983558434706468,0.0,13,1,0.07692307692307693,0.0,2,0,1
O25,2.408689546585083,0.0,5,1,0.2,0.0,2,0,1
O25,0.6636755019426346,0.4443024794260661,16,3,0.1875,0.6694574052011186,6,0,1
O25,1.3342126607894895,0.0,2,1,0.5,0.0,6,0,1
O25,0.9551031291484832,0.0,8,1,0.125,0.0,7,0,1
O25,0.5182995796203613,0.0,3,1,0.3333333333333333,0.0,7,0,1
O26,1.879883936473301,0.387798547744751,7,12,1.7142857142857142,0.20628855868212195,2,0,1
O26,0.8941202813928778,0.0,11,1,0.09090909090909091,0.0,2,0,1
O26,1.696516990661621,0.0,20,1,0.05,0.0,6,0,1
O26,1.126471757888794,0.0,9,1,0.1111111111111111,0.0,6,0,1
O29,0.7063010120391846,0.0,25,1,0.04,0.0,2,0,1
O29,1.0716803868611653,0.1002228260040283,3,1,0.3333333333333333,0.09351932463518345,2,0,1
O29,0.882610559463501,0.2124526500701904,2,1,0.5,0.24070939078649903,11,0,1
